;Concurso;bola_id;bola_num_sort
213;15;Bola12;21.0
214;15;Bola13;23.0
215;15;Bola14;24.0
216;15;Bola15;25.0
217;15;Bola2;2.0
218;15;Bola3;4.0
219;15;Bola4;6.0
220;15;Bola5;8.0
221;15;Bola6;10.0
222;15;Bola7;12.0
223;15;Bola8;15.0
224;15;Bola9;16.0
225;16;Bola1;2.0
226;16;Bola10;17.0
227;16;Bola11;19.0
228;16;Bola12;21.0
229;16;Bola13;23.0
230;16;Bola14;24.0
231;16;Bola15;25.0
232;16;Bola2;5.0
233;16;Bola3;6.0
234;16;Bola4;7.0
235;16;Bola5;8.0
236;16;Bola6;10.0
237;16;Bola7;12.0
238;16;Bola8;13.0
239;16;Bola9;15.0
240;17;Bola1;1.0
241;17;Bola10;16.0
242;17;Bola11;17.0
243;17;Bola12;18.0
244;17;Bola13;19.0
245;17;Bola14;20.0
246;17;Bola15;21.0
247;17;Bola2;2.0
248;17;Bola3;3.0
249;17;Bola4;5.0
250;17;Bola5;6.0
251;17;Bola6;7.0
252;17;Bola7;9.0
253;17;Bola8;13.0
254;17;Bola9;14.0
255;18;Bola1;2.0
256;18;Bola10;18.0
257;18;Bola11;19.0
258;18;Bola12;20.0
259;18;Bola13;22.0
260;18;Bola14;23.0
261;18;Bola15;24.0
262;18;Bola2;6.0
263;18;Bola3;7.0
264;18;Bola4;8.0
265;18;Bola5;10.0
266;18;Bola6;11.0
267;18;Bola7;14.0
268;18;Bola8;15.0
269;18;Bola9;17.0
270;19;Bola1;2.0
271;19;Bola10;15.0
272;19;Bola11;16.0
273;19;Bola12;17.0
274;19;Bola13;20.0
275;19;Bola14;23.0
276;19;Bola15;24.0
277;19;Bola2;5.0
278;19;Bola3;6.0
279;19;Bola4;7.0
280;19;Bola5;8.0
281;19;Bola6;10.0
282;19;Bola7;11.0
283;19;Bola8;13.0
284;19;Bola9;14.0
285;20;Bola1;3.0
286;20;Bola10;17.0
287;20;Bola11;18.0
288;20;Bola12;19.0
289;20;Bola13;20.0
290;20;Bola14;23.0
291;20;Bola15;24.0
292;20;Bola2;4.0
293;20;Bola3;6.0
294;20;Bola4;7.0
295;20;Bola5;8.0
296;20;Bola6;9.0
297;20;Bola7;10.0
298;20;Bola8;14.0
299;20;Bola9;16.0
300;21;Bola1;1.0
301;21;Bola10;19.0
302;21;Bola11;20.0
303;21;Bola12;22.0
304;21;Bola13;23.0
305;21;Bola14;24.0
306;21;Bola15;25.0
307;21;Bola2;2.0
